station_number,wban_number,year,month,day,mean_temp,mean_dew_point,mean_sealevel_pressure,mean_station_pressure,mean_visibility,mean_wind_speed,max_sustained_wind_speed,max_gust_wind_speed,max_temperature,min_temperature,total_precipitation,snow_depth,fog,rain,snow,hail,thunder,tornado,date,prev_snow_depth,snow_depth_change,target
725300,94846,2000,1,1,38.400001525878906,29.700000762939453,1015.7000122070312,,9.800000190734863,6.800000190734863,13.0,20.0,26.100000381469727,,0.0,,0,0,0,0,0,0,2000-01-01,,,1.0
725300,94846,2000,1,2,47.79999923706055,42.29999923706055,1006.4000244140625,,7.699999809265137,10.199999809265137,21.0,28.899999618530273,36.0,,0.009999999776482582,,1,1,1,1,1,1,2000-01-02,,,1.0
725300,94846,2000,1,3,37.5,34.099998474121094,1011.0999755859375,,7.199999809265137,11.300000190734863,18.100000381469727,26.0,35.099998474121094,,0.009999999776482582,,1,1,1,1,1,1,2000-01-03,,,1.0
725300,94846,2000,1,4,29.700000762939453,25.899999618530273,1008.7000122070312,,7.0,12.300000190734863,19.0,22.899999618530273,26.100000381469727,,0.25,1.2000000476837158,1,1,1,1,1,1,2000-01-04,,,1.0
725300,94846,2000,1,5,20.399999618530273,16.5,1025.199951171875,,8.699999809265137,8.100000381469727,12.0,16.899999618530273,12.199999809265137,,0.0,,1,1,1,1,1,1,2000-01-05,1.2000000476837158,,0.0
725300,94846,2000,1,6,29.700000762939453,23.799999237060547,1021.2000122070312,,9.899999618530273,11.300000190734863,15.0,21.0,12.899999618530273,,0.0,,0,0,0,0,0,0,2000-01-06,,,0.0
725300,94846,2000,1,7,26.600000381469727,16.299999237060547,1026.5,,9.699999809265137,8.699999809265137,14.0,21.0,21.0,,0.0,,0,0,0,0,0,0,2000-01-07,,,0.0
725300,94846,2000,1,8,33.099998474121094,22.399999618530273,1020.2000122070312,,9.899999618530273,10.300000190734863,13.0,20.0,21.899999618530273,,0.0,,0,0,0,0,0,0,2000-01-08,,,1.0
725300,94846,2000,1,9,38.400001525878906,37.0,1010.2000122070312,,3.5,5.5,8.899999618530273,,29.100000381469727,,0.12999999523162842,,1,1,1,1,1,1,2000-01-09,,,1.0
725300,94846,2000,1,10,41.29999923706055,37.5,995.2000122070312,,5.5,11.0,24.100000381469727,28.899999618530273,39.20000076293945,,0.10999999940395355,,1,1,1,1,1,1,2000-01-10,,,0.0
725300,94846,2000,1,11,35.79999923706055,25.5,1005.0999755859375,,9.800000190734863,14.0,23.899999618530273,29.899999618530273,30.200000762939453,,0.0,,0,0,0,0,0,0,2000-01-11,,,0.0
725300,94846,2000,1,12,30.200000762939453,19.399999618530273,1020.2000122070312,,9.899999618530273,8.899999618530273,16.899999618530273,23.899999618530273,26.600000381469727,,0.0,,0,0,0,0,0,0,2000-01-12,,,1.0
725300,94846,2000,1,13,29.600000381469727,21.899999618530273,1023.7000122070312,,8.699999809265137,12.0,15.0,22.899999618530273,23.0,,0.009999999776482582,,1,1,1,1,1,1,2000-01-13,,,0.0
725300,94846,2000,1,14,19.5,12.399999618530273,1040.5,,9.800000190734863,5.599999904632568,13.0,,10.899999618530273,,0.0,,0,0,0,0,0,0,2000-01-14,,,0.0
725300,94846,2000,1,15,31.399999618530273,21.399999618530273,1025.0,,9.899999618530273,9.5,12.0,16.899999618530273,26.100000381469727,,0.0,,0,0,0,0,0,0,2000-01-15,,,0.0
725300,94846,2000,1,16,32.5,22.899999618530273,1025.300048828125,,9.899999618530273,10.5,18.100000381469727,23.899999618530273,25.0,,0.0,,0,0,0,0,0,0,2000-01-16,,,1.0
725300,94846,2000,1,17,23.399999618530273,11.5,1037.0,,8.600000381469727,12.899999618530273,17.100000381469727,21.0,19.0,,0.10999999940395355,2.0,1,1,1,1,1,1,2000-01-17,,,1.0
725300,94846,2000,1,18,24.799999237060547,21.100000381469727,1021.2999877929688,,7.900000095367432,8.300000190734863,15.0,20.0,19.0,,0.0,1.2000000476837158,1,1,1,1,1,1,2000-01-18,2.0,-0.7999999523162842,1.0
725300,94846,2000,1,19,23.299999237060547,14.600000381469727,1017.4000244140625,,8.699999809265137,4.400000095367432,8.899999618530273,,9.0,,,1.2000000476837158,1,1,1,1,1,1,2000-01-19,1.2000000476837158,0.0,1.0
725300,94846,2000,1,20,15.300000190734863,9.800000190734863,1015.7000122070312,,6.400000095367432,12.199999809265137,20.0,28.899999618530273,5.0,,0.28999999165534973,3.0999999046325684,1,1,1,1,1,1,2000-01-20,1.2000000476837158,1.8999998569488525,0.0
725300,94846,2000,1,21,3.0,-5.900000095367432,1023.2000122070312,,9.899999618530273,7.599999904632568,12.0,,-2.9000000953674316,,0.0,3.0999999046325684,0,0,0,0,0,0,2000-01-21,3.0999999046325684,0.0,1.0
725300,94846,2000,1,22,12.399999618530273,6.900000095367432,1019.7999877929688,,6.099999904632568,5.300000190734863,11.100000381469727,,1.899999976158142,,0.029999999329447746,3.9000000953674316,1,1,1,1,1,1,2000-01-22,3.0999999046325684,0.8000001907348633,1.0
725300,94846,2000,1,23,18.5,11.699999809265137,1015.0,,8.300000190734863,10.5,18.100000381469727,21.0,7.0,,0.019999999552965164,3.9000000953674316,1,1,1,1,1,1,2000-01-23,3.9000000953674316,0.0,0.0
725300,94846,2000,1,24,5.199999809265137,-3.4000000953674316,1022.9000244140625,,9.800000190734863,8.0,15.899999618530273,20.0,-2.9000000953674316,,0.0,3.9000000953674316,0,0,0,0,0,0,2000-01-24,3.9000000953674316,0.0,1.0
725300,94846,2000,1,25,15.300000190734863,8.199999809265137,1017.5999755859375,,8.199999809265137,11.600000381469727,17.100000381469727,23.899999618530273,-2.9000000953674316,,0.009999999776482582,3.9000000953674316,1,1,1,1,1,1,2000-01-25,3.9000000953674316,0.0,0.0
